vocab_id,vocab_new_id,word,meaning_ko,example_en,example_ko,동의어,entry_type,is_phrase,day,related_forms,source_list,source_count,priority_group
1076,1,logic,논리학; 논리,"Investigators excel at research, using logic to analyze various","수사관들은 조사에 뛰어난데, 다양한 정보를 분석하기 위해 논리를 활용한다.",,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능특강 단어장 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 어휘끝 수능 | PDF: 워드마스터 수능2000,7,A_능률본문
3947,2,input,"투입, 입력",Your input was very helpful.,당신의 입력(조언/참여)은 매우 도움이 되었다.,"entry, feedback",word,FALSE,1,,PDF: 2022 수능완성 단어장 | PDF: 2022 수능특강 단어장 | PDF: 능률_고교기본 일별 단어 목록,4,C_EBS
5550,3,dehydrate,"탈수 상태가 되다, 건조시키다",You will dehydrate if you don't drink water.,물을 마시지 않으면 탈수 상태가 될 것이다.,"dry out, parch",word,FALSE,92,,PDF: 워드마스터 수능2000,1,D_기타
2534,4,precaution,"명 예방(책); 경계, 조심",Every homeowner should take precautions against fire.,모든 주택 소유주들은 화재 예방책을 궁리해야 한다.,,word,FALSE,,,PDF: 어휘끝 수능 | 기존 엑셀 통합본,2,B_어휘끝
1667,5,stick to,고수하다; 계속하다,"I tried to change her mind, but she stuck to her decision.","나는 그녀의 마음을 돌리려 노력했지만, 그녀는 자신의 결정을 고수했다.",,word,TRUE,,,PDF: 2022 능률VOCA 고교필수 2000,1,A_능률본문
1487,6,retain,"보유하다, 유지하다; (정보 등을) 기억하다",She succeeded in retaining her lead in the second half of the race.,그녀는 경주 후반부에 선두를 유지하는 데 성공했다. Unit,keep,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능완성 단어장 | PDF: 2022 수능특강 단어장 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 어휘끝 수능 | PDF: 워드마스터 수능2000,6,A_능률본문
1476,7,respect,"존경하다, 존중하다; (법 등을) 준수하다; 존경, 존중; 측면, 관점",She is highly respected by all her colleagues.,그녀는 모든 동료들에게 매우 존경을 받는다.,,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능완성 단어장 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 워드마스터 수능2000 | 기존 엑셀 통합본,7,A_능률본문
982,8,intake,섭취(량),"Doctors recommend a daily salt intake of 1,200mg for children and","의사들은 하루의 소금 섭취량을 어린이에게는 1,200mg, 어른에게는 1,500mg으로 권장한다.",,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 어휘끝 수능,4,A_능률본문
2156,9,dilute,동 희석하다 형 (액체가) 희석된,Water helps dilute toxins that could inhibit immune function.,물은 면역 기능을 저해할 수 있는 독소를 희석하는 데 도움이 된다.,,word,FALSE,32,,PDF: 어휘끝 수능 | PDF: 워드마스터 수능2000,2,B_어휘끝
5501,10,consult,"상담하다, 협의하다",You should consult a specialist.,당신은 전문가와 상담해야 한다.,"confer, advise",word,FALSE,10,,PDF: 능률_고교기본 일별 단어 목록 | PDF: 워드마스터 수능2000,2,D_기타
162,11,back up,~을 지원하다,I have some evidence to back up my opinion.,내 의견을 뒷받침해 줄 몇몇 증거가 있다.,,word,TRUE,,,PDF: 2022 능률VOCA 고교필수 2000,1,A_능률본문
103,12,apply,"신청하다, 지원하다; 적용되다; 바르다",They apply what they learned in school to their everyday lives. ( ),그들은 학교에서 배운 것을 일상생활에 2적용한다.,,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능완성 단어장 | PDF: 2022 수능특강 단어장 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 어휘끝 수능 | PDF: 워드마스터 수능2000 | 기존 엑셀 통합본,8,A_능률본문
1416,13,reap,"(농작물을) 베어들이다, 수확하다",You reap what you sow.,<속담> 뿌린 대로 거둔다.,,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 능률_고교필수2000 일별 단어 목록,2,A_능률본문
4408,14,permission,"승인, 허락",You need permission to enter.,들어가려면 허락(허가)이 필요하다.,"authorization, consent",word,FALSE,,,PDF: 2022 수능완성 단어장,1,C_EBS
20,15,access,"접근(성), 이용 접근하다",Many hotels provide free Internet access to their guests.,많은 호텔이 투숙객에게 무료 인터넷 접속을 제공한다.,,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능완성 단어장 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 워드마스터 수능2000 | 기존 엑셀 통합본,6,A_능률본문
420,16,context,문맥; (사건 따위의) 정황,I guessed the meaning of the word from the context.,나는 그 단어의 의미를 문맥에서 유추해냈다.,,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능완성 단어장 | PDF: 2022 수능특강 단어장 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록 | 기존 엑셀 통합본,8,A_능률본문
1691,17,submit,"제출하다; 복종[굴복]하다; 제안하다, 진술하다",All the reports must be submitted by this Friday.,모든 보고서는 이번 주 금요일까지 제출되어야 한다.,hand in,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능완성 단어장 | PDF: 2022 수능특강 단어장 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 어휘끝 수능 | PDF: 워드마스터 수능2000 | 기존 엑셀 통합본,9,A_능률본문
1645,18,stand up for,"~을 옹호하다, 지지하다",You must stand up for your rights.,당신은 당신의 권리를 옹호(지지)해야 한다.,"defend, support",word,TRUE,,,PDF: 2022 능률VOCA 고교필수 2000,1,A_능률본문
1438,19,register,"등록하다; 기록하다; 신청하다 등록, 등록부",Visit our website to register for the bike sharing service.,자전거 공유 서비스에 등록하려면 저희 웹사이트에 방문하세요. Unit,,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 어휘끝 수능 | PDF: 워드마스터 수능2000,5,A_능률본문
1203,20,obey,"복종하다, 따르다, 준수하다",You have to obey traffic regulations on the road.,도로에서는 교통법규를 지켜야 한다.,,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록,3,A_능률본문
1095,21,maintain,"유지하다, 지속하다; 주장하다",The temperature of the factory is always maintained at 22˚C.,그 공장의 온도는 항상 섭씨 22도로 유지된다.,insist,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능특강 단어장 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 어휘끝 수능 | PDF: 워드마스터 수능2000 | 기존 엑셀 통합본,8,A_능률본문
1515,22,rule,"규칙, 원칙; 지배, 통치 지배하다, 통치하다",Hong Kong was under British colonial rule for 155 years.,홍콩은 155년간 영국의 식민 지배를 받았다.,,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능완성 단어장 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 워드마스터 수능2000,5,A_능률본문
2215,23,enroll,동 등록하다; 입학[입회]시키다,You must enroll by next week.,다음 주까지 등록해야 한다.,"register, sign up",word,FALSE,3,,PDF: 2022 수능완성 단어장 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 어휘끝 수능,5,B_어휘끝
596,24,do over,다시 하다; 다시 꾸미다,Do all the figures over to check that there are no mistakes.,실수가 없는지 확인하기 위해 모든 계산을 다시 해라.,,word,TRUE,,,PDF: 2022 능률VOCA 고교필수 2000,1,A_능률본문
365,25,comply,"(법·명령 등에) 따르다, 준수하다","If you don't comply with the traffic rules, you will be fined.","교통 법규를 따르지 않는다면, 벌금이 부과될 것이다.",,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 어휘끝 수능,3,A_능률본문
1969,26,answer for,"(~에 대해) 책임지다, 보증하다","When it comes to violence among young people, television has a lot to answer for.",어근으로 외우는 어휘,,word,TRUE,,,PDF: 어휘끝 수능,1,B_어휘끝
398,27,consequence,"결과, 영향; 중요성",We should pause for a moment to reconsider actions that could have,우리는 심각한 결과를 가져올 수 있는 행동들을 다시 생각해보기 위해 잠시 멈추어야 한다.,result,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 어휘끝 수능 | 기존 엑셀 통합본,5,A_능률본문
1123,28,may as well,~하는 게 좋다,"If it snows too heavily, we may as well stay at home.","눈이 너무 많이 오면, 우리는 집에 있는 게 좋겠다.",,word,TRUE,,,PDF: 2022 능률VOCA 고교필수 2000,1,A_능률본문
4489,29,premium,"수수료, 프리미엄",You have to pay a premium.,당신은 할증료(보험료/고급의)를 내야 한다.,"bonus, fee",word,FALSE,,,PDF: 2022 수능완성 단어장,1,C_EBS
1206,30,obligation,"의무, 책임",All rights imply obligations.,모든 권리는 의무를 수반한다.,,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 워드마스터 수능2000,3,A_능률본문
527,31,deserve,"~할 가치가 있다, ~을 받을 만하다",He deserves to be praised for what he has done.,그가 한 일은 칭찬받을 만하다.,,word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 워드마스터 수능2000,4,A_능률본문
1657,32,stay over,"하룻밤 머물다, 외박하다",We're planning to stay over at the villa beside the river.,우리는 강가에 있는 별장에서 하룻밤 머물 계획이다.,,word,TRUE,,,PDF: 2022 능률VOCA 고교필수 2000,1,A_능률본문
6274,33,rely,"의지하다, 믿다",You can rely on my help.,당신은 내 도움에 의지(신뢰하다)할 수 있다.,"depend, trust",word,FALSE,4,,PDF: 능률_고교기본 일별 단어 목록 | PDF: 워드마스터 수능2000,2,D_기타
4,34,You can learn,당신은 배울 수 있다,You can learn many things from books.,당신은 책으로부터 많은 것을 배울 수 있다.,"acquire, study",word,TRUE,,,PDF: 2022 능률VOCA 고교필수 2000,1,A_능률본문
