vocab_id,vocab_new_id,word,old_meaning_ko,new_meaning_ko,reasons
1076,1,logic,1. 논리학 2. 논리,논리학; 논리,numbered_markers_removed|wide_space_normalized
1667,5,stick to,1. 고수하다 2. 계속하다,고수하다; 계속하다,numbered_markers_removed|wide_space_normalized
1487,6,retain,"1. 보유하다, 유지하다 2. (정보 등을) 기억하다","보유하다, 유지하다; (정보 등을) 기억하다",numbered_markers_removed|wide_space_normalized
1476,7,respect,"1. 존경하다, 존중하다 2. (법 등을) 준수하다                1. 존경, 존중 2. 측면, 관점","존경하다, 존중하다; (법 등을) 준수하다; 존경, 존중; 측면, 관점",numbered_markers_removed|wide_space_normalized
103,12,apply,"1. 신청하다, 지원하다 2. 적용되다 3. 바르다","신청하다, 지원하다; 적용되다; 바르다",numbered_markers_removed|wide_space_normalized
20,15,access,"접근(성), 이용        접근하다","접근(성), 이용 접근하다",wide_space_normalized
420,16,context,1. 문맥 2. (사건 따위의) 정황,문맥; (사건 따위의) 정황,numbered_markers_removed|wide_space_normalized
1691,17,submit,"1. 제출하다 2. 복종[굴복]하다 3. 제안하다, 진술하다","제출하다; 복종[굴복]하다; 제안하다, 진술하다",numbered_markers_removed|wide_space_normalized
1438,19,register,"1. 등록하다 2. 기록하다 3. 신청하다               등록, 등록부","등록하다; 기록하다; 신청하다 등록, 등록부",numbered_markers_removed|wide_space_normalized
1203,20,obey,"복종하다, 따르다, 준수하다 (            disobey)","복종하다, 따르다, 준수하다",english_parenthetical_removed|wide_space_normalized
1095,21,maintain,"1. 유지하다, 지속하다 2. 주장하다 ( claim)","유지하다, 지속하다; 주장하다",english_parenthetical_removed|numbered_markers_removed|wide_space_normalized
1515,22,rule,"1. 규칙, 원칙 2. 지배, 통치            지배하다, 통치하다","규칙, 원칙; 지배, 통치 지배하다, 통치하다",numbered_markers_removed|wide_space_normalized
2215,23,enroll,/ enrol             동 등록하다 (= register); 입학[입회]시키다,동 등록하다; 입학[입회]시키다,leading_slash_english_removed|english_parenthetical_removed|wide_space_normalized
596,24,do over,1. 다시 하다 2. 다시 꾸미다,다시 하다; 다시 꾸미다,numbered_markers_removed|wide_space_normalized
398,27,consequence,"1. 결과, 영향 2. 중요성","결과, 영향; 중요성",numbered_markers_removed|wide_space_normalized
45,36,adjust,"1. 적응하다 ( adapt) 2. 조정하다, 맞추다","적응하다; 조정하다, 맞추다",english_parenthetical_removed|numbered_markers_removed|wide_space_normalized
1243,38,outlet,"1. 배출구, 표현 수단 2. 직판점, 아울렛 3. 【전기】 콘센트","배출구, 표현 수단; 직판점, 아울렛; 【전기】 콘센트",numbered_markers_removed|wide_space_normalized
1305,40,pile up,1. ~을 쌓다 2. 축적하다,~을 쌓다; 축적하다,numbered_markers_removed|wide_space_normalized
