vocab_id,vocab_new_id,word,meaning_ko,example_en,example_ko,동의어,entry_type,is_phrase,day,related_forms,source_list,source_count,priority_group
1076,1,logic,1. 논리학 2. 논리,Your logic is flawed.,당신의 논리(논리학)에 결함이 있다.,"reasoning, sense",word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능특강 단어장 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 어휘끝 수능 | PDF: 워드마스터 수능2000,7,A_능률본문
3947,2,input,"투입, 입력",Your input was very helpful.,당신의 입력(조언/참여)은 매우 도움이 되었다.,"entry, feedback",word,FALSE,1,,PDF: 2022 수능완성 단어장 | PDF: 2022 수능특강 단어장 | PDF: 능률_고교기본 일별 단어 목록,4,C_EBS
5550,3,dehydrate,"탈수 상태가 되다, 건조시키다",You will dehydrate if you don't drink water.,물을 마시지 않으면 탈수 상태가 될 것이다.,"dry out, parch",word,FALSE,92,,PDF: 워드마스터 수능2000,1,D_기타
2534,4,precaution,"명 예방(책); 경계, 조심",You should take precautions.,당신은 예방 조치(조심)를 취해야 한다.,"care, safeguard",word,FALSE,,,PDF: 어휘끝 수능 | 기존 엑셀 통합본,2,B_어휘끝
1667,5,stick to,1. 고수하다 2. 계속하다,You should stick to your plan.,당신은 계획을 고수(지키다)해야 한다.,"adhere to, follow",word,TRUE,,,PDF: 2022 능률VOCA 고교필수 2000,1,A_능률본문
1487,6,retain,"1. 보유하다, 유지하다 2. (정보 등을) 기억하다",You should retain the receipt.,당신은 영수증을 보유(유지하다)해야 한다.,"keep, preserve",word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능완성 단어장 | PDF: 2022 수능특강 단어장 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 어휘끝 수능 | PDF: 워드마스터 수능2000,6,A_능률본문
1476,7,respect,"1. 존경하다, 존중하다 2. (법 등을) 준수하다                1. 존경, 존중 2. 측면, 관점",You should respect your parents.,부모님을 존경(존중하다/존경/측면)해야 한다.,"admire, honor",word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 2022 수능완성 단어장 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 워드마스터 수능2000 | 기존 엑셀 통합본,7,A_능률본문
982,8,intake,섭취(량),You should increase your water intake.,당신은 수분 섭취량을 늘려야 한다.,"consumption, input",word,FALSE,,,PDF: 2022 능률VOCA 고교필수 2000 | PDF: 능률_고교기본 일별 단어 목록 | PDF: 능률_고교필수2000 일별 단어 목록 | PDF: 어휘끝 수능,4,A_능률본문
2156,9,dilute,동 희석하다 형 (액체가) 희석된,You should dilute the juice with water.,당신은 주스를 물로 희석해야 한다.,"weaken, thin",word,FALSE,32,,PDF: 어휘끝 수능 | PDF: 워드마스터 수능2000,2,B_어휘끝
5501,10,consult,"상담하다, 협의하다",You should consult a specialist.,당신은 전문가와 상담해야 한다.,"confer, advise",word,FALSE,10,,PDF: 능률_고교기본 일별 단어 목록 | PDF: 워드마스터 수능2000,2,D_기타
